sid,langPair,srcKo,answerKo,transEn,transJa,transCn,isSlang,tags
"s001","KO_EN","오늘 모임 ㄹㅇ 레전드였음.","레전드","Today's meetup was literally legendary.","今日の集まりはマジでレジェンドだった。","今天的聚会真是传奇。",true,"MZ"
"s002","KO_EN","이 영상 진짜 꿀잼이야.","꿀잼","This video is really fun.","この動画は本当に面白い。","这视频真的很有趣。",true,"MZ"
"s003","KO_EN","그 소식 듣고 현타가 왔다.","현타","After hearing the news, reality hit me.","その知らせを聞いて現実に戻った気がした。","听到那个消息后我突然清醒了。",true,"MZ"
"s004","KO_EN","이번 게임은 노잼이었어.","노잼","This game was boring.","このゲームはつまらなかった。","这场游戏很无聊。",true,"MZ"
"s005","KO_EN","오늘 컨디션이 역대급이야.","역대급","My condition is the best ever today.","今日は過去最高のコンディションだ。","我今天状态历史级别地好。",true,"MZ"
"s006","KO_JP","그 밈은 요즘 완전 유행이야.","밈","That meme is super trendy these days.","そのミームは最近大流行だ。","那个梗最近很火。",true,"MZ"
"s007","KO_JP","오늘도 오운완 했지?","오운완","Workout done for today, right?","今日も運動完了したよね？","今天也完成运动了吧？",true,"운동"
"s008","KO_JP","갑분싸 분위기라서 말 아꼈다.","갑분싸","The mood suddenly got awkward so I kept quiet.","急にしらけた雰囲気になって黙った。","气氛突然冷场我就不说话了。",true,"상황"
"s009","KO_CN","드립 치다가 킹받게 했다 미안.","킹받","Sorry I made you pissed while joking.","冗談言っててムカつかせてごめん。","开玩笑时把你惹火了抱歉。",true,"MZ"
"s010","KO_CN","오늘 점심은 혜자였다.","혜자","Lunch was such a great value today.","今日のランチはコスパ最高だった。","今天午饭性价比超高。",true,"MZ"
"s011","KO_CN","요즘 갓생 살려고 노력 중이야.","갓생","I'm trying to live a disciplined 'god-life' lately.","最近は“神生”を目指して規則正しく過ごしてる。","最近在努力过“神生”。",true,"MZ"
"s012","KO_EN","규칙적인 수면이 집중력을 높인다.","집중력","Regular sleep improves concentration.","規則的な睡眠は集中力を高める。","规律睡眠能提高专注力。",false,"건강"
"s013","KO_JP","문제의 원인을 분석하고 해결책을 제시했다.","분석","We analyzed the cause and proposed a solution.","原因を分析し解決策を提示した。","分析了原因并提出了方案。",false,"분석"
"s014","KO_CN","목표를 세우고 꾸준히 실천하면 성장한다.","성장","Set goals and act consistently to grow.","目標を立てて継続的に実行すれば成長する。","设定目标并坚持执行就会成长。",false,"자기계발"
"s015","KO_EN","시간 관리를 철저히 하자.","관리","Let's manage our time thoroughly.","時間管理を徹底しよう。","要严格做好时间管理。",false,"시간"
"s016","KO_JP","오늘 발표는 긴장됐지만 잘 마쳤다.","발표","I was nervous about today's presentation but finished well.","今日の発表は緊張したがうまく終えた。","今天的发表虽然紧张但顺利结束。",false,"학교"
"s017","KO_CN","도서관에서 자료를 수집했다.","수집","I collected materials in the library.","図書館で資料を収集した。","我在图书馆收集了资料。",false,"학습"
"s018","KO_EN","팀원들과 역할을 분배했다.","분배","We distributed roles among team members.","チームメンバーと役割を分担した。","和队员们分配了角色。",false,"팀워크"
"s019","KO_JP","정확한 기록이 나중에 큰 도움이 된다.","기록","Accurate records help a lot later.","正確な記録は後で大いに役立つ。","准确的记录日后很有帮助。",false,"기록"
"s020","KO_CN","문제를 여러 각도에서 관찰해보자.","관찰","Let's observe the problem from multiple angles.","問題を多角的に観察しよう。","从多个角度观察问题。",false,"사고"
"s021","KO_EN","회의 전 자료를 정리했다.","정리","I organized materials before the meeting.","会議前に資料を整理した。","开会前整理了资料。",false,"업무"
"s022","KO_JP","사용자 요구를 정확히 파악했다.","요구","We accurately identified user requirements.","ユーザー要求を正確に把握した。","准确把握了用户需求。",false,"요구사항"
"s023","KO_CN","품질을 유지하기 위해 검증이 필요하다.","검증","Verification is needed to maintain quality.","品質を維持するには検証が必要だ。","为保持质量需要进行验证。",false,"품질"
"s024","KO_EN","효율적인 분배가 성과를 높인다.","효율","Efficient distribution increases performance.","効率的な分配が成果を高める。","高效分配能提高绩效。",false,"효율"
"s025","KO_JP","데이터를 수집하고 분석했다.","수집","We collected and analyzed data.","データを収集し分析した。","收集并分析了数据。",false,"데이터"
"s026","KO_CN","문제를 세분화하여 단계별로 해결했다.","세분화","We solved the problem step by step by subdividing it.","問題を細分化して段階的に解決した。","把问题细分分步解决。",false,"설계"
"s027","KO_EN","테스트 계획을 수립하고 실행했다.","수립","We established and executed a test plan.","テスト計画を策定し実行した。","制定并执行了测试计划。",false,"테스트"
"s028","KO_JP","버전 관리를 통해 변경 이력을 추적했다.","추적","We tracked change history via version control.","バージョン管理で変更履歴を追跡した。","通过版本管理跟踪更改历史。",false,"형상관리"
"s029","KO_CN","아이디어를 종합해 최종안을 선택했다.","종합","We synthesized ideas and selected the final plan.","アイデアを総合して最終案を選んだ。","综合创意选定了最终方案。",false,"의사결정"
"s030","KO_EN","모듈 간 의존성을 줄였다.","의존성","We reduced dependencies between modules.","モジュール間の依存性を減らした。","降低了模块间依赖。",false,"아키텍처"
"s031","KO_JP","재사용 가능한 컴포넌트를 설계했다.","재사용","We designed reusable components.","再利用可能なコンポーネントを設計した。","设计了可复用组件。",false,"설계"
"s032","KO_CN","성능 측정을 통해 병목을 파악했다.","병목","We identified bottlenecks through performance measurements.","性能測定でボトルネックを特定した。","通过性能测量找出瓶颈。",false,"성능"
"s033","KO_EN","예외 처리를 표준화했다.","예외","We standardized exception handling.","例外処理を標準化した。","标准化了异常处理。",false,"코딩"
"s034","KO_JP","테스트 커버리지를 향상시켰다.","커버리지","We improved test coverage.","テストカバレッジを向上させた。","提升了测试覆盖率。",false,"테스트"
"s035","KO_CN","자동화를 도입해 효율을 높였다.","자동화","We introduced automation to increase efficiency.","自動化を導入して効率を上げた。","引入自动化提高效率。",false,"CI"
"s036","KO_EN","배포 파이프라인을 안정화했다.","배포","We stabilized the deployment pipeline.","デプロイパイプラインを安定化した。","稳定了部署流水线。",false,"CD"
"s037","KO_JP","로그를 분석해 장애 원인을 찾았다.","장애","We analyzed logs to find the cause of the failure.","ログを分析して障害原因を見つけた。","分析日志找到故障原因。",false,"운영"
"s038","KO_CN","보안을 강화하기 위해 검증 절차를 추가했다.","보안","We added verification steps to enhance security.","セキュリティ強化のため検証手順を追加した。","为加强安全新增了验证步骤。",false,"보안"
"s039","KO_EN","회의록을 작성해 공유했다.","회의록","We wrote and shared the meeting minutes.","議事録を作成して共有した。","编写并共享了会议记录。",false,"업무"
"s040","KO_JP","리팩토링으로 가독성을 높였다.","리팩토링","Refactoring improved readability.","リファクタリングで可読性が上がった。","重构提高了可读性。",false,"코딩"
"s041","KO_CN","사용성 테스트에서 문제를 발견했다.","사용성","We found issues in usability testing.","ユーザビリティテストで問題を発見した。","在可用性测试中发现了问题。",false,"UX"
"s042","KO_EN","문서화를 통해 지식을 축적했다.","문서화","We accumulated knowledge through documentation.","ドキュメント化で知識を蓄積した。","通过文档化沉淀知识。",false,"문서화"
"s043","KO_JP","새로운 API를 연동했다.","연동","We integrated a new API.","新しいAPIを連携した。","集成了新的API。",false,"연동"
"s044","KO_CN","단위 테스트를 보강했다.","단위","We strengthened unit tests.","単体テストを強化した。","强化了单元测试。",false,"테스트"
"s045","KO_EN","코드 리뷰 주기를 단축했다.","주기","We shortened the code review cycle.","コードレビューの周期を短縮した。","缩短了代码评审周期。",false,"협업"
"s046","KO_JP","캐시 전략을 재설계했다.","캐시","We redesigned the caching strategy.","キャッシュ戦略を再設計した。","重新设计了缓存策略。",false,"성능"
"s047","KO_CN","알림 기능의 신뢰도를 높였다.","신뢰도","We increased the reliability of notifications.","通知機能の信頼性を高めた。","提高了通知功能的可靠性。",false,"운영"
"s048","KO_EN","백업과 복구 절차를 점검했다.","복구","We checked backup and recovery procedures.","バックアップと復旧手順を点検した。","检查了备份与恢复流程。",false,"운영"
"s049","KO_JP","오늘 날씨가 너무 맑다.","맑다","The weather is so clear today.","今日の天気はとても晴れている。","今天天气非常晴朗。",false,"날씨"
"s050","KO_CN","요즘 정말 열정이 넘친다.","열정","These days I'm full of passion.","最近私は情熱に満ちている。","最近我充满了热情。",false,"감정"
"s051","KO_EN","오늘 모임 ㄹㅇ 레전드였음.","레전드","Today's meetup was literally legendary.","今日の集まりはマジでレジェンドだった。","今天的聚会真是传奇。",true,"MZ"
"s052","KO_JP","이 영상 진짜 꿀잼이야.","꿀잼","This video is really fun.","この動画は本当に面白い。","这视频真的很有趣。",true,"MZ"
"s053","KO_CN","그 소식 듣고 현타가 왔다.","현타","After hearing the news, reality hit me.","その知らせを聞いて現実に戻った気がした。","听到那个消息后我突然清醒了。",true,"MZ"
"s054","KO_EN","이번 게임은 노잼이었어.","노잼","This game was boring.","このゲームはつまらなかった。","这场游戏很无聊。",true,"MZ"
"s055","KO_JP","오늘 컨디션이 역대급이야.","역대급","My condition is the best ever today.","今日は過去最高のコンディションだ。","我今天状态历史级别地好。",true,"MZ"
"s056","KO_CN","그 밈은 요즘 완전 유행이야.","밈","That meme is super trendy these days.","そのミームは最近大流行だ。","那个梗最近很火。",true,"MZ"
"s057","KO_EN","오늘도 오운완 했지?","오운완","Workout done for today, right?","今日も運動完了したよね？","今天也完成运动了吧？",true,"운동"
"s058","KO_JP","갑분싸 분위기라서 말 아꼈다.","갑분싸","The mood suddenly got awkward so I kept quiet.","急にしらけた雰囲気になって黙った。","气氛突然冷场我就不说话了。",true,"상황"
"s059","KO_CN","드립 치다가 킹받게 했다 미안.","킹받","Sorry I made you pissed while joking.","冗談言っててムカつかせてごめん。","开玩笑时把你惹火了抱歉。",true,"MZ"
"s060","KO_EN","오늘 점심은 혜자였다.","혜자","Lunch was such a great value today.","今日のランチはコスパ最高だった。","今天午饭性价比超高。",true,"MZ"
"s061","KO_JP","요즘 갓생 살려고 노력 중이야.","갓생","I'm trying to live a disciplined 'god-life' lately.","最近は“神生”を目指して規則正しく過ごしてる。","最近在努力过“神生”。",true,"MZ"
"s062","KO_CN","오늘 모임 ㄹㅇ 레전드였음.","레전드","Today's meetup was literally legendary.","今日の集まりはマジでレジェンドだった。","今天的聚会真是传奇。",true,"MZ"
"s063","KO_EN","이 영상 진짜 꿀잼이야.","꿀잼","This video is really fun.","この動画は本当に面白い。","这视频真的很有趣。",true,"MZ"
"s064","KO_JP","그 소식 듣고 현타가 왔다.","현타","After hearing the news, reality hit me.","その知らせを聞いて現実に戻った気がした。","听到那个消息后我突然清醒了。",true,"MZ"
"s065","KO_CN","이번 게임은 노잼이었어.","노잼","This game was boring.","このゲームはつまらなかった。","这场游戏很无聊。",true,"MZ"
"s066","KO_EN","오늘 컨디션이 역대급이야.","역대급","My condition is the best ever today.","今日は過去最高のコンディションだ。","我今天状态历史级别地好。",true,"MZ"
"s067","KO_JP","그 밈은 요즘 완전 유행이야.","밈","That meme is super trendy these days.","そのミームは最近大流行だ。","那个梗最近很火。",true,"MZ"
"s068","KO_CN","오늘도 오운완 했지?","오운완","Workout done for today, right?","今日も運動完了したよね？","今天也完成运动了吧？",true,"운동"
"s069","KO_EN","갑분싸 분위기라서 말 아꼈다.","갑분싸","The mood suddenly got awkward so I kept quiet.","急にしらけた雰囲気になって黙った。","气氛突然冷场我就不说话了。",true,"상황"
"s070","KO_JP","드립 치다가 킹받게 했다 미안.","킹받","Sorry I made you pissed while joking.","冗談言っててムカつかせてごめん。","开玩笑时把你惹火了抱歉。",true,"MZ"
"s071","KO_EN","이번 주 일정을 세밀하게 계획했다.","계획","We planned the schedule in detail.","詳細なスケジュールを立てた。","我们细致地规划了日程。",false,"계획"
"s072","KO_JP","리스크를 식별하고 대응 전략을 마련했다.","리스크","We identified risks and prepared response strategies.","リスクを特定し対応戦略を用意した。","识别了风险并制定了应对策略。",false,"관리"
"s073","KO_CN","코딩 표준을 준수해 품질을 높였다.","표준","We followed coding standards to improve quality.","コーディング規約を順守して品質を上げた。","遵循编码规范提升了质量。",false,"코딩"
"s074","KO_EN","이번 달 테스트 자동화를 확장했다.","확장","We expanded test automation.","テスト自動化を拡張した。","扩展了测试自动化。",false,"테스트"
"s075","KO_JP","지표를 모니터링해 이상을 감지했다.","지표","We monitored metrics to detect anomalies.","指標をモニタリングして異常を検知した。","监控指标以发现异常。",false,"운영"
"s076","KO_CN","이번 분기 코드 커버리지를 시각화했다.","시각화","We visualized code coverage.","コードカバレッジを可視化した。","将代码覆盖率可视化。",false,"테스트"
"s077","KO_EN","이번 분기 문서 템플릿을 표준화했다.","템플릿","We standardized document templates.","文書テンプレートを標準化した。","标准化了文档模板。",false,"문서화"
"s078","KO_JP","이번 분기 성능 프로파일링으로 최적화 지점을 찾았다.","프로파일링","We found optimization spots via performance profiling.","プロファイリングで最適化箇所を見つけた。","通过性能剖析找到优化点。",false,"성능"
"s079","KO_CN","이번 분기 캐시 무효화 전략을 개선했다.","무효화","We improved cache invalidation strategies.","キャッシュ無効化戦略を改善した。","改进了缓存失效策略。",false,"성능"
"s080","KO_EN","이번 주 데이터베이스 인덱스를 재구성했다.","인덱스","We reorganized database indexes.","データベースのインデックスを再構成した。","重新整理了数据库索引。",false,"DB"
"s081","KO_JP","이번 주 쿼리 튜닝으로 응답 시간을 줄였다.","튜닝","We tuned queries to reduce response time.","クエリチューニングで応答時間を短縮した。","通过查询优化减少响应时间。",false,"DB"
"s082","KO_CN","로그 정책을 세분화해 추적성을 강화했다.","추적성","We refined log policies to enhance traceability.","ログ方針を細分化してトレーサビリティを強化した。","细化日志策略以增强可追溯性。",false,"운영"
"s083","KO_EN","이번 달 배치 작업의 실패를 자동 재시도했다.","재시도","We auto-retried failed batch jobs.","バッチ処理の失敗を自動再試行した。","批处理失败将自动重试。",false,"운영"
"s084","KO_JP","이번 분기 릴리즈 노트를 체계적으로 정리했다.","릴리즈","We organized release notes systematically.","リリースノートを体系的に整理した。","系统整理了发布说明。",false,"文書化"
"s085","KO_CN","이번 분기 알림의 우선순위를 조정했다.","우선순위","We adjusted notification priorities.","通知の優先度を調整した。","调整了通知的优先级。",false,"운영"
"s086","KO_EN","이번 주 세션 관리를 개선해 보안을 강화했다.","세션","We improved session management to enhance security.","セッション管理を改善してセキュリティを強化した。","改进会话管理以增强安全。",false,"보안"
"s087","KO_JP","이번 분기 권한 체계를 단순화했다.","권한","We simplified the permission system.","権限体系を簡素化した。","简化了权限体系。",false,"보안"
